ID,userName,password,email,phoneNumber,Address,userType
48d98520-1375-11ef-b537-325096b39f47,Joy,Joy@123,joy@gmail.com,9876543212,Hyderabad,nonAdmin
671d9170-1375-11ef-864f-325096b39f47,John,John@123,john@gmail.com,1234567898,Secunderabad,nonAdmin
817706a0-1375-11ef-ae01-325096b39f47,Jessy,Jessy@123,jessy@gmail.com,5432156789,Rajahmundry,nonAdmin
9dc3d464-1375-11ef-98da-325096b39f47,Blessy,Blessy@123,blessy@gmail.com,9087654321,Kurnool,nonAdmin
b8a67fd4-1375-11ef-8e75-325096b39f47,Sunny,Sunny@123,sunny@gmail.com,9089786543,Kadapa,Admin
d2a3d6f1-364f-4191-90b7-8c0121b32db4,Funny,Funny@123,funny@gmail.com,9753124680,Kakinada,Admin
c359dbde-e432-4b13-8ac2-bb650338b0cb,Bunny,Bunny@123,bunny@gmail.com,8064213579,Anatapur,nonAdmin
5ebc47a9-c73d-48e5-8320-68a1d2509a3a,Joel,Joel@123,joel@gmail.com,1357924680,Nandhyal,nonAdmin
9b899726-faea-4abc-8019-398cd8568317,Raj,Raj@123,raj@gmail.com,2468013579,Guntur,nonAdmin
fadb9794-3b52-4676-bd24-9400701cf63c,Ram,Ram@123,ram@gmail.com,4268013579,Vijayawada,nonAdmin
532bc1c4-9283-4e22-8871-f671eaa46f0d,Rani,Rani@123,rani@gmail.com,9703845128,Nidadavolu,nonAdmin
90e7a1db-091b-43dd-b65d-d8b905bde862,Roy,Roy@123,roy@gmail.com,9988776655,Miyapur,nonAdmin
0d2f1bfa-ded7-4e6c-ac33-4dcfb505970d,Rahul,Rahul@123,rahul@gmail.com,1122334455,Kukatpally,nonAdmin
